voornaam,tussenvoegsel,achternaam,geboortejaar,geslacht,seizoen,uitkomst
Roos,,Schlikker,1975,V,17,7
Yvonne,,Coldeweijer,1986,V,17,8
Vincent,,Vianen,1984,M,17,9
Jan,,Versteegh,1985,M,18,0
Ruben,,Hein,1982,M,18,1
Olcay,,Gulsen,1980,V,18,2
Simone,,Weimans,1971,V,18,3
Stine,,Jensen,1972,V,18,4
Loes,,Haverkort,1981,V,18,5
Emilio,,Guzman,1981,M,18,6
Bella,,Hay,1990,V,18,7
Jean-Marc,van,Tol,1967,M,18,8
Ron,,Boszhard,1963,M,18,9
Merel,,Westrik,1979,V,19,0
Sarah,,Chronis,1986,V,19,1
Niels,,Littooij,1989,M,19,2
Sinan,,Can,1977,M,19,3
Rick Paul,van,Mulligen,1981,M,19,4
Jamie,,Trenite,1990,M,19,5
Robert,van,Beckhoven,1961,M,19,6
Evelien,de,Bruijn,1974,V,19,7
Nikkie,de,Jager,1994,V,19,8
Evi,,Hanssen,1978,V,19,9
Jaike,,Belfor,1978,V,20,
Leonie,ter,Braak,1980,V,20,
Tina,de,Bruin,1975,V,20,
Rob,,Dekay,1987,M,20,
Johan,,Goossens,1982,M,20,
Claes,,Iversen,1977,M,20,
Nathan,,Rutjes,1983,M,20,
Buddy,,Vedder,1994,M,20,
Miljuschka,,Witzenhausen,1985,V,20,
Anita,,Witzier,1961,V,20,
